Reference,Value,Footprint,Datasheet,DK,MPN,Qty,Qty10
C1,1uF,Capacitor_SMD:C_0805_2012Metric,~,1276-1029-1-ND,,1,10
"C2, C3",22uF,Capacitor_SMD:C_0805_2012Metric,~,1276-CL21A226MAYNNNECT-ND,,2,20
C4,47uF,Capacitor_SMD:C_1206_3216Metric,~,4713-GMC31X5R476M25NTCT-ND,,1,10
C5,3.3nF,Capacitor_SMD:C_0805_2012Metric,~,399-C0805C332K5RAC7800CT-ND,,1,10
C6,11nF,Capacitor_SMD:C_0805_2012Metric,~,490-8297-1-ND,,1,10
C7,470pF,Capacitor_SMD:C_0402_1005Metric,~,490-GCM155R71H471KA37JCT-ND,,1,10
"C8, C22, C32-C34",100nF,Capacitor_SMD:C_0402_1005Metric,~,1276-CL05B104KP5VPNCCT-ND,,5,50
C9,10uF,Capacitor_SMD:C_0805_2012Metric,~,1276-1096-1-ND,,1,10
C10,3.9nF,Capacitor_SMD:C_0805_2012Metric,~,478-KGM21NR71H392KTCT-ND,,1,10
"C11, C12",220uF,Capacitor_SMD:C_1206_3216Metric,~,718-2369-1-ND,,2,20
C13,100uF,Capacitor_SMD:C_0805_2012Metric,~,490-GRM21BR60G107ME11KCT-ND,,1,10
"C14, C16, C18, C20, C21, C23, C24, C27, C35, C37, C40-C51",1uF,Capacitor_SMD:C_0402_1005Metric,~,1276-1010-1-ND,,22,220
"C15, C17, C19, C36, C38, C52",0.1uF,Capacitor_SMD:C_0402_1005Metric,~,1276-1043-1-ND,,6,60
C25,10nF,Capacitor_SMD:C_0402_1005Metric,~,399-C0402C103K3REC7411CT-ND,,1,10
C26,4.7uF,Capacitor_SMD:C_0402_1005Metric,~,1276-1482-1-ND,,1,10
C39,330uF,Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B,~,399-T490B337M004ATE800CT-ND,,1,10
IC1,BM1397_mode1,bitaxe:BM1397,,,,1,10
"J1, J2",Conn_SKEDD_6pos,Connector:Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,4.90108E+11,,,2,20
J3,MAS_Edge_Connector,Connector_PCBEdge:BUS_PCIexpress_x1,,,,1,10
L1,1.3uH,Inductor_SMD:L_Bourns_SRP1245A,~,SRP1265A-1R8MCT-ND,SRP1265A-1R8M,1,10
M1,CSD17304Q3,Package_TO_SOT_SMD:TDSON-8-1,http://www.ti.com/lit/gpn/csd17304q3,296-27509-1-ND,,1,10
M2,CSD17573Q5B,Package_TO_SOT_SMD:TDSON-8-1,http://www.ti.com/lit/gpn/csd17573q5b,296-39836-1-ND,,1,10
R1,3.83k,Resistor_SMD:R_0402_1005Metric,~,311-3.83KLRCT-ND,,1,10
R2,1.74k,Resistor_SMD:R_0402_1005Metric,~,YAG3046CT-ND,,1,10
"R3, R11",100k,Resistor_SMD:R_0805_2012Metric,~,RMCF0805FT100KCT-ND,,2,20
R4,432,Resistor_SMD:R_0805_2012Metric,~,RMCF0805FT432RCT-ND,,1,10
R5,10k,Resistor_SMD:R_0805_2012Metric,~,RMCF0805FT10K0CT-ND,,1,10
R6,6.65k,Resistor_SMD:R_0805_2012Metric,~,RMCF0805FT6K65CT-ND,,1,10
"R7, R18, R20, R21, R25, R26, R31, R32",1k,Resistor_SMD:R_0402_1005Metric,~,311-1.00KLRCT-ND,,8,80
"R8, R9, R12-R17, R22-R24, R27-R29",15k,Resistor_SMD:R_0402_1005Metric,~,P15.0KLCT-ND,,14,140
R10,2mOhm,Resistor_SMD:R_Shunt_Vishay_WSKW0612,~,4463-D1MPC1206DR003FF-T5CT-ND,,1,10
R19,2k,Resistor_SMD:R_0402_1005Metric,~,P2.00KLCT-ND,,1,10
"TP6, TP7",TestPoint,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,,,2,20
U2,TPS40303DRCR,mineapple:TPS40305,TPS40303DRCR,296-37444-1-ND,,1,10
U3,MIC5504-1.8YM5,Package_TO_SOT_SMD:SOT-23-5,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf,576-4879-1-ND,,1,10
U4,TPS7A0508PDBV,Package_TO_SOT_SMD:SOT-23-5,https://www.ti.com/lit/ds/symlink/tps7a05.pdf,296-TPS7A0508PDBVRCT-ND,,1,10
U5,MIC5504-3.3YM5,Package_TO_SOT_SMD:SOT-23-5,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf,576-4764-1-ND,,1,10
U7,INA180A4,Package_TO_SOT_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/ina180.pdf,296-47655-1-ND,,1,10
U13,STM32F072CBTx,Package_QFP:LQFP-48_7x7mm_P0.5mm,https://www.st.com/resource/en/datasheet/stm32f072cb.pdf,497-18747-1-ND,,1,10
X1,25MHz,Oscillator:Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,http://cdn-reichelt.de/documents/datenblatt/B400/XO32.pdf,1908-O250-JO32-B-1V3-1-T1-LFCT-ND,,1,10
